region,date,hour,Атмосферное давление на уровне станции,Температура воздуха,Относительная влажность,Направление ветра,Скорость ветра,Балл общей облачности,Горизонтальная видимость,Комментарий к погоде,Максимальная температура,Осадки за 12 часов,Минимальная температура,Осадки за 24 часа,Высота снежного покрова
chita-area/aginskoe2,2020/03/27,12,704,-1.6,25,C-З,6,5,50,,,,,,
chita-area/aginskoe2,2020/03/27,18,703,-9.2,47,Ю-В,1,0,50,,,,,,
chita-area/aginskoe2,2020/03/28,06,699,4.2,19,C-З,4,1,50,,,,,,
chita-area/aginskoe2,2020/03/28,12,694,9.3,10,Ю-З,7,0,50,,,,,,
chita-area/aginskoe2,2020/03/28,18,694,-5.2,33,C-З,2,0,50,,,,,,
chita-area/aginskoe2,2020/03/29,06,695,7.5,17,З,7,5,50,,,,,,
chita-area/aginskoe2,2020/03/29,12,695,7.7,16,C-З,7,6,50,,,,,,
chita-area/aginskoe2,2020/03/29,18,698,-2.8,38,C-З,3,0,50,,,,,,
chita-area/aginskoe2,2020/03/30,06,702,1.5,26,C-З,6,6,50,,,,,,
chita-area/aginskoe2,2020/03/30,12,702,1.5,19,C-З,6,2,50,,,,,,
chita-area/aginskoe2,2020/03/30,18,706,-4.4,40,З,3,0,50,,,,,,
chita-area/aginskoe2,2020/03/31,06,706,2.2,30,З,6,5,50,,,,,,
chita-area/aginskoe2,2020/03/31,12,703,6.6,20,З,10,0,50,,,,,,
chita-area/aginskoe2,2020/03/31,18,704,-1.1,31,З,3,10,50,,,,,,
chita-area/aginskoe2,2020/04/01,06,701,9.2,18,C-З,8,7,50,,,,,,
chita-area/aginskoe2,2020/04/01,12,700,9.8,17,C-З,9,2,50,,,,,,
chita-area/aginskoe2,2020/04/01,18,703,4.2,38,C-З,2,0,50,,,,,,
chita-area/aginskoe2,2020/04/02,06,705,9.5,28,З,7,6,50,,,,,,
chita-area/aginskoe2,2020/04/02,12,702,11.8,18,C-З,9,6,50,,,,,,
chita-area/aginskoe2,2020/04/02,18,703,6.1,23,З,1,0,50,,,,,,
chita-area/aginskoe2,2020/04/03,06,712,2.6,18,C,5,0,50,,,,,,
chita-area/aginskoe2,2020/04/03,12,711,6.7,10,C-В,2,0,50,,,,,,
chita-area/aginskoe2,2020/04/03,18,713,-7.8,32,C-З,2,0,50,,,,,,
