date,country_code,cases,deaths,recovered,retail,grocery,parks,transit,work,residential,s1_school,s2_workplace,s3_events,s4_transport,s5_info,s6_movement,s7_travel,s8_fiscal,s9_monetary,s10_investment,stringency
2020-01-22,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,AFG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,AFG,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,AFG,0,0,0,2.1191123070266316,5.883721579881076,2.3333361994877464,6.8789778963985135,6.345774114720959,0.5286147782923992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,AFG,1,0,0,2.6005833404821157,12.987478036044465,4.362069078992064,8.935759444516222,7.004136852473454,-0.48731419703443907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,AFG,1,0,0,2.272559197952553,4.724365267382814,1.1672911698665707,8.915071819456506,6.9558523673305475,0.16694613350261375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,AFG,1,0,0,-0.6907187495882203,5.265502592139774,1.7314118209549447,3.40101501959026,5.493414740952605,0.7061414004927189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,AFG,1,0,0,-0.9251803711252354,0.2584668705550583,0.7379689453231134,3.370853167651349,7.097593555703227,2.4137201743300976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,AFG,1,0,0,-2.054566215141633,4.500785079142798,0.9547987280218995,3.7241576419221487,5.286567237122833,2.2599937698059795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,AFG,1,0,0,-1.021215608203449,1.2470931392644782,0.17722791490026285,4.260303478860611,6.328781620367002,1.4023472446269194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,AFG,1,0,0,2.991687962861118,9.976745114115825,1.833334501025868,9.630573919772742,8.884085910707489,0.47466466574640465,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.81
2020-03-02,AFG,1,0,0,5.056692293811914,7.084078324100309,3.5689677428121085,8.230304538159029,7.8888686413455575,-0.8462162758455848,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-03,AFG,1,0,0,3.4088387969288294,6.391789320166451,1.7509429648010781,7.5074322433770755,8.139828096117455,0.08303988258356264,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-04,AFG,1,0,0,-1.93400819613277,4.434107165963455,0.7695171315356778,-0.9069406718564539,7.3978010083465175,0.9861582896006879,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-05,AFG,1,0,0,3.0398823960632275,5.4277630444430764,2.213905455969072,3.595577883320571,10.173220251845096,1.25831420084037,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-06,AFG,1,0,0,2.9106302051077,9.376642565269073,8.593173372194144,3.7241576419221487,8.015117028816164,1.1778817271131226,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-07,AFG,1,0,0,0.0,5.237791184910808,4.607880247397952,3.5876239110753856,7.278098325897523,0.6560927134063445,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-08,AFG,4,0,0,4.736843308324704,7.930235342347473,3.6666676220514676,6.64968160612762,6.5697444626043655,-0.15394368859547913,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-09,AFG,4,0,0,-15.170071503042964,-10.035780840537758,-4.362069078992064,-9.406060012746108,-21.82342085635509,6.361478348230482,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-10,AFG,5,0,0,0.0,0.0,1.3618436081784342,6.334394308406886,5.549880349514017,0.7093785179634758,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-11,AFG,7,0,0,2.2103002676019305,-1.3856608172707756,2.3085513946070435,0.0,3.4425422873557334,0.6940938983195911,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-12,AFG,7,0,0,0.7930157804733686,-4.135436673063875,1.106952037984397,-1.5730676043347005,5.993524880437037,1.1820364199934987,2.0,0.0,2.0,0.0,1.0,0.0,1.0,15000000.0,0.0,15000000.0,38.1
2020-03-13,AFG,7,0,0,3.4242720950426593,8.626508393163576,6.30166360094299,4.522194028484839,4.604428445388161,0.08110231761603347,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.1
2020-03-14,AFG,11,0,0,6.25493232233891,2.2447676506760605,4.785101262296863,5.157206416120195,3.243500983581488,-0.4189928883292492,2.0,0.0,2.0,0.0,1.0,0.0,1.0,25000000.0,0.0,25000000.0,42.86
2020-03-15,AFG,16,0,0,0.9972306655519004,11.51163010340745,5.000000424615467,5.9617846272902435,2.762280800058591,0.37405383685725774,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-16,AFG,21,0,1,1.4447667296924676,14.463327298914166,2.577587967586557,3.9975764513533107,1.2533741776537708,0.619738458715503,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-17,AFG,22,0,1,0.42610585806475065,5.558073968192927,3.1127810529784194,-2.815284557508678,1.40597201781653,0.40229384625906633,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-18,AFG,22,0,1,-0.4144320565118469,6.65116340941055,5.578997478633354,-6.575294533382054,-1.1719284601524043,0.742855488677527,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-19,AFG,22,0,1,-3.3042223341525543,3.1015811629377863,4.7967940045994375,-6.516982970970934,-1.5772448041269438,2.36168548315201,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-20,AFG,24,0,1,-15.238014049975485,1.125194606994849,7.065499271359856,-19.4188259475109,-6.82137582304467,0.9400470113233382,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-21,AFG,24,0,1,-22.977311518930726,-12.720350020497676,1.4178081391991422,-24.440668891018156,-36.074053623518324,5.856240291271378,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-22,AFG,40,1,1,-11.966761263631872,8.953490228231649,-1.833334501025868,-14.675154467255094,-5.673868446316106,1.4442816864242511,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-23,AFG,40,1,1,-11.269195820020698,6.78890900361944,0.3965527380903855,-16.930905590535588,-3.244023726191505,2.5581504189349915,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.86
2020-03-24,AFG,74,1,1,-15.481816595192305,0.27790157003735266,-1.1672911698665707,-18.533970183639994,-4.957892485120558,3.597165480850001,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,52.38
2020-03-25,AFG,84,2,2,-18.51124474026801,-0.5542653910944568,-2.69330789037448,-22.900186086674637,-10.400860548489335,6.336242948503333,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,52.38
2020-03-26,AFG,94,4,2,-17.974973262664836,0.2584668705550583,-4.058825059276324,-23.14652003954614,-10.330939357012456,7.162772180303804,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,61.9
2020-03-27,AFG,110,4,2,-20.37443026012865,4.500785079142798,-2.4824728288561873,-16.49270469215144,-1.7053436198083343,4.698536919320145,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-03-28,AFG,110,4,2,-36.38074099731,-19.704071600378754,-7.089042075995969,-32.28859492961671,-27.292866034493017,10.928631755052113,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-03-29,AFG,120,4,2,-38.01938803033306,-20.720928067063078,-13.833336624103204,-34.85349962992122,-33.66994154668229,10.645178456076728,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-03-30,AFG,170,4,2,-40.88695882275587,-25.08944811064633,-15.068968167427576,-39.50545448594109,-37.306245303069964,11.001636435078833,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-03-31,AFG,174,4,5,-43.74678472955963,-28.901992083906237,-14.202067176714776,-42.46390784118811,-38.40517658759551,11.957759699732788,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-04-01,AFG,237,4,5,-44.48225439636549,-24.387602715125837,-9.041828020544594,-38.54486166320962,-37.721450754672084,11.009401918673714,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-04-02,AFG,273,6,10,-44.673082461787196,-25.329560430656777,-10.33155557452171,-35.95575991448135,-35.09366128082408,12.98592578180458,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
2020-04-03,AFG,281,6,10,-37.838223592158634,-12.752227716486308,-8.402217214590461,-32.453378369907156,-12.278476750242666,5.8767466485027695,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,71.43
