region,date,region_name,confirmed,geoname_code
RU-AD,2020-01-22,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-23,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-24,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-25,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-26,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-27,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-28,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-29,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-30,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-01-31,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-01,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-02,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-03,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-04,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-05,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-06,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-07,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-08,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-09,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-10,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-11,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-12,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-13,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-14,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-15,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-16,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-17,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-18,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-19,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-20,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-21,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-22,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-23,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-24,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-25,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-26,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-27,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-28,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-02-29,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-03-01,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-03-02,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-03-03,Republic of Adygeia,0.0,RU.AD
RU-AD,2020-03-04,Republic of Adygeia,0.0,RU.AD
